created_at,id,text,like_count
2026-05-15T06:26:10.000Z,2055172869584212348,"RT @Comptesclares: 🚨‼️🍿🚨‼️🍿
1. Ha arribat l’hora. Haviem dit que ho explicariwm

FCS Select. Una empresa que va fer un pilotassu de 263 mil…",0
2026-05-15T06:26:09.000Z,2055172869429289084,"RT @summer_food: Traditional Slow Cooker Beef and Mushroom Stew 

Ingredients
2 lbs beef stew meat, cut into 1-inch pieces
Salt and pepper,…",0
2026-05-15T06:26:09.000Z,2055172868636397993,"RT @CarlosF66089689: @J_Zaragoza_ 120.000 muertos por el Covid bajo la dirección de Pedro Sánchez y Salvador Illa.
47 muertos en tren bajo…",0
2026-05-15T06:26:09.000Z,2055172867537391849,"RT @Ajoke__xx: Travel as much as you can . As often as possible , catch a flight , hop on a train . Discover new places , taste new foods ,…",0
2026-05-15T06:26:09.000Z,2055172866052632664,RT @jxtsummer: my music taste so diverse. i really listen to whatever reflects my current mood,0
2026-05-15T06:26:09.000Z,2055172865541001620,RT @AlaaSamir0599: I am currently in the hospital and urgently need lymph node surgery. I am suffering from a serious virus and tuberculosi…,0
2026-05-15T06:26:08.000Z,2055172864165159064,@nickatnite18_ For someone with bad taste this a good take,0
2026-05-15T06:26:08.000Z,2055172863435366541,RT @Markus_Krall: Blinddarm-Bosetti mal wieder. Die ist in einer Liga mit Paolo Pinkel und Hofschranze Böhmeranze. Sie hat mitgemacht beim…,0
2026-05-15T06:26:08.000Z,2055172862764327041,RT @muheediva01: It should be illegal to take a nap and STILL wake up with a headache. Like excuse me??? I rebooted the entire system.,0
2026-05-15T06:26:08.000Z,2055172862408114658,RT @AnnCoulter: HUGE VICTORY FOR ALEX BERENSON - censored for unapproved speech about COVID when the official govt position was to lie to u…,0
2026-05-15T06:26:08.000Z,2055172861787296059,"RT @Mrsinha: The last fuel price hike was in 2022.
Since then, the world has witnessed: -Covid aftermath
-Russia-Ukraine war
-India-Pak con…",0
2026-05-15T06:26:07.000Z,2055172860373516448,"RT @javierellob0: 🚨⚠️🚨 Nunca olviden que la COVID fue un montaje y todos conocemos a los responsables.

No confíen en la OMS, el Foro Econó…",0
2026-05-15T06:26:07.000Z,2055172860293812529,"RT @jamilesalima: as pessoas acham que se descentraliza o amor romântico do dia pra noite, sendo q fomos catequizadas nisso a vida inteira.…",0
2026-05-15T06:26:07.000Z,2055172859794764127,"RT @Nature: An antiviral pill has, for the first time, been shown to prevent COVID-19 in people exposed to the SARS-CoV-2 virus

https://t.…",0
2026-05-15T06:26:07.000Z,2055172859257930105,"RT @sergiodde: Souvenirs de la supercherie Covid

Message aux cerveaux allumés et un peu éclairés. 

Pour les cerveaux éteints, rien à fair…",0
2026-05-15T06:26:07.000Z,2055172859195277548,pertama kali upload story wa terus semua yang ngeliat adalah match bumble pas covid-19,0
2026-05-15T06:26:07.000Z,2055172858737836129,"RT @RightPulseNewss: 🚨 Jesse Watters just dropped a BOMB: “I’m beginning to think the entire Democratic Party is one giant SCAM.”

And he’s…",0
2026-05-15T06:26:07.000Z,2055172858629013801,RT @doughnbil: excuse me her music taste in her tiktok post 😭😭😭😭 https://t.co/XsR9UgYjFN,0
2026-05-15T06:26:07.000Z,2055172857668210840,"RT @SHomburg: Können Sie sich einen Artikel in @faznet oder @derspiegel vorstellen, dass Drosten durch seinen mit Fauci verfassten Brief be…",0
2026-05-15T06:26:07.000Z,2055172857265557980,"RT @tssashagrl: Is your mouth available for a quick taste test? btw explore my naughty side with my free OF link below babe!

https://t.co/…",0
2026-05-15T06:26:06.000Z,2055172856560906546,"RT @okg06: One and only OKG FOODS AND CHOPS 

Premium taste guaranteed https://t.co/puTePjncNg",0
2026-05-15T06:26:06.000Z,2055172856229790033,RT @raelbe_: alpha!Dunk having a taste test 🤤 https://t.co/n0yMsYyeLq,0
2026-05-15T06:26:06.000Z,2055172854740898169,"RT @kloramfenik0l: Phuwin from kazz magazine (Taste Edition)

PPP FAMILY KAZZAWARDS

#KAZZAWARDS2026xPondPhuwin
#phuwintang @phuwintang htt…",0
2026-05-15T06:26:06.000Z,2055172854568620416,RT @Cohesity: Ransomware's getting faster. Recovery time is everything. We just expanded our seven-year alliance with @HPE to make sure you…,0
2026-05-15T06:26:05.000Z,2055172852031066411,RT @mommagerthOF: Who wants a taste? 🤭 https://t.co/Jd7RA2UoVV,0
2026-05-15T06:26:05.000Z,2055172851267965094,"@bearsejuk I think the rest can see who articulates well, and who is likely an inbred 🤣

I have demonstrated convincingly why I have malay fatigue. You lot are bottom feeders man. It’s better that you just go away 😩",0
2026-05-15T06:26:05.000Z,2055172848625553486,"RT @Mrsinha: The last fuel price hike was in 2022.
Since then, the world has witnessed: -Covid aftermath
-Russia-Ukraine war
-India-Pak con…",0
2026-05-15T06:26:04.000Z,2055172848159985914,"@6ix9ine Might honestly be thee WORST streamer of all time..I have a 4 day headache from this dude..bruh, we &amp; I mean WE expected more! This shii WACK1000",0
