"created_at","id","text"
"Wed Feb 11 08:05:15 +0000 2026","tweet-2021495734126903607","@RegalFilms Bestfrend become to lovers 
Excited na ako sa batuhan ng linya nilang dalawa huhuhu Yong tutulo sipon ko hehehe https://t.co/2C4fWfSWgb"
"Thu Feb 12 02:14:08 +0000 2026","tweet-2021769762242781323","RT untuk keberuntungan bigwin hari ini.. https://t.co/uS2gxp7Xwd"
"Wed Feb 18 10:35:18 +0000 2026","tweet-2024070211138359771","lagnat season na ngaa"
"Thu Feb 19 15:35:21 +0000 2026","tweet-2024508107477692614","Naalala ko yung lyrics na "" Minsan gusto kong mag magsumbong Sayo ,Kapag Pagod na pagod na ako.""

#SanggreAwaitedReunion
#AvisalaAmihan
KYLIE PADILLA https://t.co/YsvMwmjijd"
"Tue Feb 17 14:41:14 +0000 2026","tweet-2023769714795966816","parang pagod na pagod na ang friend ni rodolfo down der.. https://t.co/2PrvvDYkWF"
"Thu Feb 12 08:34:44 +0000 2026","tweet-2021865541053690036","@riojaneee ""Pagod na pagod ako mag english pinoy ka naman pala 😭"""
"Wed Feb 18 06:20:30 +0000 2026","tweet-2024006087481913834","@ZhasimJ @eli_lancebrey hahaha..pagod na pagod na pagod na c teo kakatakbo😁"
"Tue Feb 10 12:52:37 +0000 2026","tweet-2021205666485108869","Coach Dante, pagod na pagod na si Sisi at Eya ANUNA

#PVL2026"
"Thu Feb 12 01:17:55 +0000 2026","tweet-2021755614435877329","Grabe ung third wheel pagod na pagod. Bigyan niyo rin po kasi ng ka-date, available po si Antown.🤭"
"Tue Feb 17 10:55:16 +0000 2026","tweet-2023712846388097386","Pagod na pagod si bella halata, buti na lang panalo at may award pa, kudos din sa lahat ng teammates niya kumapit sila👏👏👏

#PVL2026"
"Sat Feb 14 11:46:21 +0000 2026","tweet-2022638542292422953","@OtaresSean6296 True. Di ko makita yung drive Kay Carmelle. Bigla Ako nakaramdam ng panghihina"
"Sat Feb 14 11:08:58 +0000 2026","tweet-2022629130509185144","@skyebloooo PAGOD NA PAGOD NA ANG VIARKIN DAHIL GINAGAWA SILA LAGING EXCUSE!!"
"Wed Feb 11 22:30:00 +0000 2026","tweet-2021713356005290147","@hawk38282 @akazukinchan2x Lodi mong pati sipon natulo kakaiyak sa senado😂😂 https://t.co/fU97sOOqAH"
"Wed Feb 11 16:33:16 +0000 2026","tweet-2021623581093089340","Lawrd, ayoko na po ng lagnat. Alisin mo na po sakin 😭 4 days na kong bedridden (ang OA!?) AYOKO NA PO 😭😭😭😭😭 

MASAMA NA NGA PAKIRAMDAM, MASAMA PA LUOB KO 😭😭😭😭"
"Mon Feb 16 03:57:34 +0000 2026","tweet-2023245341647073515","Connected po sila nang daluyan nang oxygen kaya kung magkahiwalay kamay nila, nahihirapan huminga yung isa HAHAHAHAHAHA"
